기능명,FR-ID,MVP 포함,개발 상태,비고,사용자 스토리,예외 처리 / 엣지 케이스,우선순위,인수 조건 (Given/When/Then),입력 / 출력,정상 흐름 (Happy Path),카테고리
시험 등록 및 자동/수동 시험 태깅,11,Yes,개발중,"exam, exam_card, user_setting.active_exam_id 연동","학생으로서, 다가오는 시험을 등록하고 마이 탭에서 활성 시험을 지정하여, 시험 D-day까지 새로 추가하는 단어들에 시험 태그가 자동으로 붙거나 필요 시 수동으로 태그를 관리하길 원한다.","활성 시험 미지정 시 자동 태깅 미적용(일반 단어 등록), 시험일(D-day) 지난 경우 자동 비활성화, 한 단어에 여러 시험 태그 가능(다대다), 시험 삭제 시 연결된 카드의 태그만 안전하게 해제(단어 보존)",P0 최상,"Given 활성 시험이 '중간고사(D-10)'로 지정됨, When 사진 촬영으로 새 단어 카드 생성, Then 해당 카드에 '중간고사' 태그가 자동으로 부여된다. / Given 단어 상세 화면, When 사용자가 시험 태그를 수동 변경, Then 변경 사항이 즉시 카드에 반영된다.","입력: 시험명·시험일(D-day), 마이탭 활성 시험 ON/OFF, 단어 수동 시험 태깅 / 출력: 시험 D-day 뱃지(예: 📅 중간고사 D-7), 카드별 시험 태그 자동/수동 매핑",시험 등록 → 마이 탭에서 활성 시험 지정 → D-day까지 사진 촬영 단어 카드 생성 시 해당 시험 태그 자동 부착(0터치) → 단어 상세에서 수동 추가/해제 가능 → 시험 종료일 경과 시 자동 태깅 자동 해제,단어장
학습 진입 & 유형 선택,12,Yes,개발중,"v2.2 재정의(3계층→ 2방식+유형). 스키마 불변(조회 파라미터). web study-pick, 서버 StudyController","학생으로서, 사용자 선택/태그 기반/오답률 높은 단어 복습 중 골라 학습을 시작하고 싶다.","직접 선택 모드 취소 미구현(페이지 이탈로만, MVP)",P0 최상,"Given 저장 된 영어 단어, When 학습 방식 선택(용자 선택/태그 기반/오답률 높은 단어), Then 사고과정 복습 화면으로 분기 / Given 영어·플래시카드, 빈칸When 두 선택지 중 선택Then 플래시카드 or 빈칸 화면으로 분기","입력: 학습 방식(오늘 복습/직접 선택/오답률 높은 단어), 유형 / 출력: mode·type별 학습 큐",단어 학습하기 → 바텀시트(방식 3택) → 유형(플래시/빈칸) → 학습 시작 → 유형별 화면 분기,복습
경험치·레벨업,13,Yes,검토중,"v0.4 제외→v2 정식 포함. study_log 원료 소급. 서버 ExpController·ExpService·RankingService, web game-result","학생으로서, 접속·캡처·정답 시 경험치를 얻고 레벨·랭킹으로 동기부여 받고 싶다.","일일 경험치 한도(밸런스·악용 방지), study_log 소급 계산, 게임형 홈과 연계",P1 상,"Given 정답 활동, When 경험치 지급, Then 일일 한도 내에서 경험치·레벨이 갱신되고 초과분은 차단","입력: 활동 이벤트(접속/캡처/정답) / 출력: 경험치·레벨·랭킹, 일일 한도",활동 발생 → 경험치 지급(실시간 애니메이션) → 레벨업·보상 → 랭킹 반영,통계/게이미피케이션
성장 연계 경험치 + 학습 잔디,14,Yes,검토중,GitHub 잔디 레퍼런스,"학생으로서, 복습 시간증가·오답률 하락·출석 달성 보너스와 연속 학습일 잔디로 성장을 눈으로 보고 싶다.","잔디 누락일 처리, 출석 이중 계산 방지, 콤보 제거(연속 학습일=잔디만 유지)",P1 상,"Given 연속 N일 학습, When 잔디 조회, Then N칸이 연속된 색으로 표시","입력: 복습 시간증가·오답률 하락·출석 이력 / 출력: 보너스 경험치, 일별 색칠 잔디 캘린더",복습 시간증가/오답률 하락/출석 달성 → 보너스 경험치 → 연속 학습일 잔디 색칠,통계/게이미피케이션
전체 사용자 단어 통계,15,No,미정,F-15 · v3. 콜드스타트로 미정,"학생으로서, 다른 사용자들과 비교해 많이 틀리는 단어를 보고 싶다.","콜드스타트(사용자 확보 전 무의미), 학교·학년 비교는 개인정보 검토 선행",P3 하,"Given 충분한 사용자 데이터, When 집단 통계 요청, Then 익명화된 비교 지표 제시",입력: 전체 사용자 오답 집계 / 출력: 집단 통계(콜드스타트 해소 후),사용자 확보 후 전체 통계 집계 → 비교 지표 제시,통계/게이미피케이션
복습 백로그 (메모리 게임 등 5종),16,No,미정,F-17 · 핵심 루프 안정화 후 검토. 각 항목 따봉 1표,"학생으로서, 다양한 미니게임·퀴즈로 단어를 질리지 않게 복습하고 싶다.","각 항목 득표 1 수준, 핵심 루프 우선",P3 하,"Given 백로그 항목, When 우선순위 재정 후 채택, Then 해당 미니게임 구현",입력: 복습 카드 / 출력: 메모리 게임·역발상 스펠링·뜻→영단어 타이핑·뉴앙스 그림·별도 단어장,핵심 루프 안정화 후 백로그 중 선택 구현,복습
화면 테마 설정 (다크 / 라이트 / 시스템 자동),17,Yes,미정,user_setting.theme_mode · CSS 테마 변수 연동 · 마이 탭 설정,"학생으로서, 학습 환경(주간/야간)과 취향에 맞게 앱 화면을 다크 모드, 라이트 모드, 또는 OS 시스템 설정에 맞추어 자동으로 변경하여 눈의 피로를 줄이고 싶다.","네트워크 미연결 시에도 로컬(LocalStorage/Preferences)에 테마 설정 유지하여 깜빡임(FOUC) 방지, 모든 색상 대비 4.5:1 이상 접근성 가이드 준수",P2 중,"Given 마이 탭 설정, When '다크 모드' 선택, Then 모든 화면의 배경과 텍스트가 다크 테마로 전환된다. / When '시스템 자동' 선택, Then 기기 OS의 다크모드 상태에 따라 자동으로 테마가 실시간 전환된다.",입력: 마이 탭 설정에서 테마 선택 (라이트 / 다크 / 시스템 자동) / 출력: 앱 전반의 컬러 테마 즉각 전환 및 로컬/서버 설정 동기화,마이 탭 [화면 테마 설정] 진입 → 라이트/다크/시스템 자동 중 선택 → 선택 즉시 앱 전체 CSS 변수 및 UI 스타일 반영 → '시스템 자동' 선택 시 OS 다크모드 변경 시 실시간 동기화,홈/기타
단어장 내 알/헷/몰 누적 횟수 표시,18,Yes,미정,단어장 조회 성능을 위해 단어(Word) 엔티티에 통계 필드 캐싱 또는 역정규화 검토 필요,"학생으로서, 복습(플래시카드/빈칸 퀴즈) 중 각 단어 문제마다 평가한 알/헷/몰 누적 횟수를 단어장에서 한눈에 확인해 취약 단어를 파악하고 싶다.","평가 이력이 없는 단어는 배지 미노출(또는 0 회색 처리), 누적 횟수 99 초과 시 99+로 축약해 UI 깨짐 방지",P1 상,"Given 복습 게임에서 특정 단어의 알/헷/몰 버튼을 누른 이력이 있을 때, When 단어장에 진입하면, Then 해당 단어 항목에 알/헷/몰 아이콘과 누적 횟수가 표시된다.","입력: 단어장 탭 진입 / 출력: 단어 목록 및 단어별 알/헷/몰 누적 횟수 (knowCount, confusedCount, dontKnowCount)",복습(플래시카드/빈칸 퀴즈) 진입 → 각 문제마다 알/헷/몰 버튼 클릭 및 서버 누적 → 단어장 탭 진입 → 각 단어 UI에 누적 카운트 배지 노출,단어장
푸쉬 알림 (자동/수동),20,No,미정,구체적인 자동 발송 조건은 추후 보완 및 기획 예정. Firebase Cloud Messaging(FCM) 등 알림 서버 구축 필요.,"사용자로서, 특정 조건(학습 리마인더 등)에 따른 자동 푸쉬 알림이나 관리자가 직접 보내는 공지 알림을 통해 앱의 주요 활동과 소식을 놓치지 않고 싶다.","앱 진입 직후 무작정 권한 요청 금지(Apple 심사 대응). OS 알림 거부 시 스킵, 야간/심야 에티켓 시간 제한, 비동기 큐 처리.",P2 중,"Given 알림 수신에 동의한 기기가 있을 때, When 특정 자동 조건이 달성되거나 관리자가 수동으로 알림을 전송하면, Then 사용자의 스마트폰에 푸쉬 알림이 수신되고 탭 시 관련 화면으로 이동한다.",입력: (자동) 서버 스케줄러 트리거 / (수동) 관리자 툴 발송 내용 입력 / 출력: 기기별 푸쉬 알림 팝업 노출,(자동) 특정 조건 달성 → 서버가 FCM 토큰으로 알림 전송 / (수동) 관리자가 어드민에서 타겟 및 메시지 입력 후 발송 → 사용자 기기에 푸쉬 수신 → 클릭 시 앱 특정 화면으로 딥링크 이동,홈/기타
시스템 및 비즈니스 모니터링 대시보드 (Grafana),21,Yes,미정,"지표 이원화 설계 반영 완료 - 커스텀 비즈니스 지표(DAU/MAU, 결제전환, AI토큰 효율 등) 및 시스템 인프라 지표(Actuator 기본 RUM/RPS/Latency 등) 분리 구현","운영자로서, 앱의 실시간 트래픽(RPS/RUM)과 수익성(LTV/전환율), AI 토큰 효율성을 Grafana 대시보드에서 파악하여 비즈니스 성장과 서버 안정성을 동시에 관리하고 싶다.","메트릭 스크랩 동작이 메인 서비스 성능에 영향을 주지 않도록 경량화 처리, 결제 웹훅 지연 시 재시도 로직, Redis 다운 시 대체(Fallback) 처리",P3 하,"Given Prometheus가 백엔드와 연결된 상태에서, When 유저가 API를 호출하거나 구독 웹훅이 들어오면, Then 1분 내에 Grafana 대시보드에 DAU, LTV, RPS 지표가 갱신되어 차트로 표시된다.","입력: API 요청 내역, Redis 세션, 결제 웹훅 이벤트 / 출력: 프로메테우스 형태의 텍스트 메트릭 노출(/actuator/prometheus) 및 시각화 차트",유저 활동 및 API 호출 → 백엔드 Micrometer 카운팅(비즈니스/시스템) → Prometheus 주기적 스크랩(Pull) → Grafana 대시보드 시각화,모니터링
PLG + Tempo 모니터링 인프라 프로비저닝 (IaC),22,Yes,미정,EC2 단일 노드 환경에 맞게 컨테이너별 리소스 제한(limits) 적용 필요,"시스템 관리자로서, 서버의 상태와 에러를 한눈에 파악하기 위해 PLG 스택과 Tempo 인프라를 구축하고 싶다.","기존 서비스 포트와 충돌하지 않도록 포트 매핑 조정, 메모리 부족 시 컨테이너 자동 재시작(restart: always) 설정",P3 하,"docker-compose up 실행 시 인프라 컨테이너(Prometheus, Grafana, Loki, Tempo 등)가 모두 구동되며, 데이터소스가 자동 프로비저닝 되어야 함.","입력: docker-compose.yml, datasources.yml / 출력: 구동된 모니터링 컨테이너 프로세스","인프라 스크립트(docker-compose up) 실행 ➔ 전체 모니터링 컨테이너 가동 ➔ Grafana 접속 시 데이터소스(Loki, Tempo) 정상 연결 확인",모니터링
백엔드 분산 추적(Trace) 및 커스텀 지표 파이프라인 구축,23,Yes,미정,,"운영자로서, 비즈니스 성과(DAU, LTV)와 백엔드 병목(DB 쿼리 시간)을 데이터로 추적하고 싶다.",Tempo/Prometheus 서버가 일시적으로 다운되더라도 메인 API 응답 성능에 영향을 주지 않아야 함 (비동기 전송 및 타임아웃 처리),P3 하,Spring Boot 애플리케이션의 /actuator/prometheus 엔드포인트 개방 및 OpenTelemetry Exporter 연동이 정상 작동해야 함.,"입력: HTTP API 요청 / 출력: /actuator/prometheus 메트릭 텍스트, OTLP Span 데이터",클라이언트 API 요청 ➔ 백엔드(Micrometer)에서 비즈니스 로직 카운팅 및 TraceID 발급 ➔ 응답 반환 및 Tempo로 Span 비동기 전송,모니터링
K6 기반 모니터링 E2E 검증 및 부하 테스트 스크립트 구축,25,Yes,미정,,"QA 엔지니어로서, 구축된 모니터링과 알림 시스템이 실제 장애 상황에서 정상 작동하는지 검증하고 싶다.","부하 테스트로 인해 실제 운영 DB에 더미(쓰레기) 데이터가 과도하게 쌓이지 않도록, 테스트 전용 계정 사용 및 트랜잭션 롤백 격리 장치 마련",P3 하,"K6 부하/장애 스크립트 실행 시 Grafana 수치가 연동되어 변화하고, Discord 알람 및 Tempo 폭포수 차트 렌더링이 확인되어야 함.",입력: K6 부하 시나리오 JS 파일 / 출력: K6 터미널 결과 리포트 및 모니터링 대시보드의 시각적 갱신,K6 스크립 실행 ➔ 백엔드에 부하 인입 ➔ Grafana 대시보드 갱신 ➔ 임계치 초과 알림 발송 ➔ 에러 로그 ➔ Tempo 화면 전환 검증,모니터링
구독 결제 (Plus / Pro 플랜),19,Yes,미정,결제 화면에 갱신 주기/취소 방법/약관 명시 필수. 외부 PG 링크 절대 금지(양대 마켓 네이티브 IAP 필수). Capacitor RevenueCat 플러그인 권장.,"사용자로서, 월 구독제(Plus: 월 3,900원 / Pro: 월 6,900원)를 결제하여 일일 사진 촬영 및 AI 이미지 분석 한도를 확장(Plus: 20회 / Pro: 40회)하여 마음껏 공부하고 싶다.","결제 실패/잔액 부족 시 에러 안내, 구독 해지 시 남은 기간(다음 결제일 전)까지 혜택 유지, 인앱 영수증 검증 서버 로직 구현",P2 중,"Given 무료 사용자가 구독 페이지에서, When Plus(3,900원) 또는 Pro(6,900원) 결제를 성공적으로 완료하면, Then 즉시 계정이 업그레이드되고 일일 AI 사진 분석 한도가 20회 또는 40회로 증가한다.","입력: 플랜 선택 및 스토어 결제 승인 / 출력: 결제 완료 상태(영수증 검증), 변경된 일일 사용 한도 상태",결제/구독 안내 화면 진입 → 플랜 선택 후 결제 진행 → 앱스토어/플레이스토어 결제 승인 → 서버 영수증 검증 → 결제 완료 안내 및 계정 권한/일일 한도 즉시 업데이트,홈/기타
Discord 장애/경고 Alert 라우팅 시스템 연동,24,Yes,미정,,"개발자로서, 서버에 치명적인 장애나 에러가 발생했을 때 즉각적으로 Discord 알림을 받아 대응하고 싶다.",동일한 에러로 인한 알림 폭탄(Spam) 방지를 위해 Silence/Mute 주기(예: 30분~1시간) 설정,P3 하,"Grafana에서 5% 에러 또는 P99 지연 감지 시, Discord Webhook(Contact Point)을 통해 실시간으로 @here 멘션이 발송되어야 함.",입력: PromQL/LogQL 임계치 초과 이벤트 / 출력: Discord 알림 메시지 (JSON 페이로드),Grafana 스케줄러가 Alert Rule 검사 ➔ 임계치(5% 에러) 초과 감지 ➔ Discord Webhook으로 알림 전송 ➔ 채널에 @here 멘션 발생,모니터링
